Einschreibeschluessel,Kuerzel,Semesterzug,"Name der Vorlesung",Kurzbezeichnung,Dozent,Bemerkungen,"Weiterer Link",Moodle-Link,Evaluierungswunsch
PHY-L2324,GIE,M3B,Physik-L,PYL,GIERAY,," ","https://moodle.hs-hannover.de/course/view.php?id=27080 ",
PYLWS2425,PIN,VE3,Physik-L,PYL,PINDRUS,," ","https://moodle.hs-hannover.de/course/view.php?id=27475 ",
"Bitte per E-Mail beim Dozenten erfragen",GRM,WI3,Physik-L,PYL,GRÜNEMAIER,," ","https://moodle.hs-hannover.de/course/view.php?id=27342 Physik Labor",
Deming24,SIE,AM6,Qual.Umw.Mg,QUM,"SIEGERT   ",," ","https://moodle.hs-hannover.de/enrol/index.php?id=27300 ",
Deming2024,FLM,ID5,Qual.Umw.Mg,QUM,FLIMM,," ","https://moodle.hs-hannover.de/course/view.php?id=27432 ",
Deming2024,FLM,II5,Qual.Umw.Mg,QUM,FLIMM,," ","https://moodle.hs-hannover.de/course/view.php?id=27432 ",
Deming24,SIE,PS6,Qual.Umw.Mg,QUM,"SIEGERT   ",," ","https://moodle.hs-hannover.de/enrol/index.php?id=27300 ",
Deming24,SIE,WI6,Qual.Umw.Mg,QUM,"SIEGERT   ",," ","https://moodle.hs-hannover.de/enrol/index.php?id=27300 ",
Deming2024,FLM,XA5,Qual.Umw.Mg,QUM,FLIMM,," ","https://moodle.hs-hannover.de/course/view.php?id=27432 ",
UQM-2024-25,SAK,VM5,Qual.UmwVEU,QUV,SAKUTH,," ","https://moodle.hs-hannover.de/course/view.php?id=27234 ",
UT1-2024-25,SAK,VE5,Reinh.d.Lu.,RED,SAKUTH,," ","https://moodle.hs-hannover.de/course/view.php?id=27235 ",
ClausiusREB,JAN,ET6,Regen.Energ,REE,JANSSEN,," ","https://moodle.hs-hannover.de/course/view.php?id=26704 ",
ClausiusREB,JAN,VM5,Regen.Energ,REE,JANSSEN,," ","https://moodle.hs-hannover.de/course/view.php?id=26704 ",
